input_ean, product_url, pdf_link, energy_efficiency_class, energylevel_link, supplier_company, supplier_address, supplier_zip, supplier_city, supplier_country, supplier_email, supplier_tel, mfr_address, mfr_zip, mfr_city, mfr_country, mfr_email, mfr_tel
Apple iPhone 17 Pro Max 256GB cosmic orange, https://www.otto.de/p/apple-iphone-17-pro-max-smartphone-17-4-cm-6-9-zoll-1000-gb-speicherplatz-48-mp-kamera-2029112297/, https://d.otto.de/files/6f832ef3-9925-5482-84ed-3f33f379590e.pdf, A, https://i.otto.de/i/otto/fcc7cb20-3284-57f6-9823-47e55dfcfbe8, Apple Distribution International Ltd., Hollyhill Industrial Estate, T23 YK84, Cork, IE, contactus.de@euro.apple.com, , Apple Inc. Apple Park Way 1, 95014, Cupertino, US, , 
Apple iPhone 17 Pro 512GB silber, https://www.otto.de/p/apple-iphone-17-pro-smartphone-15-9-cm-6-3-zoll-1000-gb-speicherplatz-48-mp-kamera-2029112906/, https://d.otto.de/files/375986af-622e-5d13-8584-aab2a21212ec.pdf, A, https://i.otto.de/i/otto/eb2b75ed-c3f1-5e10-a136-ba6e7e28849d, Apple Distribution International Ltd., Hollyhill Industrial Estate, T23 YK84, Cork, IE, contactus.de@euro.apple.com, , Apple Inc. Apple Park Way 1, 95014, Cupertino, US, , 
Samsung Galaxy Z Flip7 FE 128GB Dual-SIM white, , , , , , , , , , , , , , , , , 
Apple iPhone 16 Pro 256GB schwarz, https://www.otto.de/p/apple-iphone-16-pro-smartphone-15-9-cm-6-3-zoll-1000-gb-speicherplatz-48-mp-kamera-1909231815/, https://d.otto.de/files/0d5e0810-2d71-523a-b957-9b3454cbacdf.pdf, B, https://i.otto.de/i/otto/7a15dc29-5812-5c1c-a22c-8b953ff37f70, Apple Distribution International Ltd., Hollyhill Industrial Estate, T23 YK84, Cork, IE, contactus.de@euro.apple.com, , Apple Inc. Apple Park Way 1, 95014, Cupertino, US, , 
Apple iPhone 15 256GB schwarz, https://www.otto.de/p/apple-iphone-15-smartphone-15-5-cm-6-1-zoll-128-gb-speicherplatz-48-mp-kamera-1786938266/, https://d.otto.de/files/43e2f1c9-7de0-5be7-84b1-df87336697b3.pdf, B, https://i.otto.de/i/otto/6a2ec92d-e549-5d71-96c1-14fd1d062b6a, Apple Distribution International Ltd., Hollyhill Industrial Estate, T23 YK84, Cork, IE, contactus.de@euro.apple.com, , Apple Inc. Apple Park Way 1, 95014, Cupertino, US, , 
Google Pixel 9a 256GB Dual-SIM iris, https://www.otto.de/p/google-pixel-9a-128-gb-smartphone-16-cm-6-3-zoll-128-gb-speicherplatz-48-mp-kamera-C1962122385/, Not found, Not found, Not found, Google Ireland Limited, Gordon Housem Barrow Street, 16467, Dublin 4, IE, info@google.com, , , , , , , 
Google Pixel 10 Pro XL 512GB Dual-SIM, https://www.otto.de/p/google-pixel-10-pro-xl-smartphone-17-1-cm-6-8-zoll-1000-gb-speicherplatz-50-mp-kamera-2022790224/, https://d.otto.de/files/87c59db8-2084-5962-90da-31784c28ef5f.pdf, B, https://i.otto.de/i/otto/82ca75c3-cd33-54f9-a9ee-c01bccf5f1ac, Google Commerce Limited, Sir John Rogersons Quay 70, D02 R296, Dublin, IE, , , , , , , , 
Samsung Galaxy S25 256GB Dual-SIM silver shadow, , , , , , , , , , , , , , , , , 
Apple iPhone 14 Pro Max 1TB silber, , , , , , , , , , , , , , , , , 
Samsung Galaxy Z Flip7 FE 128GB Dual-SIM white, , , , , , , , , , , , , , , , , 
Samsung Galaxy Z Fold7 256GB Dual-SIM blue shadow, https://www.otto.de/p/samsung-galaxy-z-fold7-smartphone-20-31-cm-8-zoll-512-gb-speicherplatz-200-mp-kamera-2005007619/, https://d.otto.de/files/79486bbd-8f0b-5447-8bac-cbf0164e8978.pdf, B, https://i.otto.de/i/otto/c5a4bdd4-858b-5e8a-b07f-6291a9b7a7e5, Samsung Electronics Co. Ltd, PO BOX, 12987, Dublin, IE, , , , , , , , 
